"","Id","MSSubClass","MSZoning","LotFrontage","LotArea","LotShape","LotConfig","Neighborhood","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","Foundation","BsmtQual","BsmtExposure","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","HeatingQC","1stFlrSF","2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","TotRmsAbvGrd","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","EnclosedPorch","3SsnPorch","ScreenPorch","PoolArea","Fence","MiscVal","MoSold","YrSold","SaleCondition","SalePrice"
"628",628,"SPLIT OR MULTI-LEVEL","Residential Low Density",80,9600,"Regular","Inside lot","NAmes","Single-family Detached","Split Level",6,6,1955,1972,"Gable","Asbestos Shingles","Asbestos Shingles","Brick Face",164,"Average/Typical","Cinder Block","Typical (80-89 inches)","Average Exposure (split levels or foyers typically score average or above)",674,"Low Quality",132,350,1156,"Excellent",1520,0,0,1520,1,0,1,0,3,1,7,2,"Good - Masonry Fireplace in main level","Basement Garage",1955,"Rough Finished",1,364,0,0,189,0,0,0,"No Fence",0,3,2010,"Normal Sale",153000
"629",629,"2-STORY 1946 and NEWER","Residential Low Density",70,11606,"Slightly irregular","Inside lot","NAmes","Single-family Detached","Two story",5,5,1969,1969,"Gable","Plywood","Plywood","Brick Face",192,"Average/Typical","Poured Contrete","Good (90-99 inches)","Average Exposure (split levels or foyers typically score average or above)",650,"Unfinished",0,390,1040,"Average/Typical",1040,1040,0,2080,0,1,1,2,5,1,9,2,"Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement","Attached to home",1969,"Unfinished",2,504,335,0,0,0,0,0,"No Fence",0,9,2007,"Sale between family members",135000
"630",630,"SPLIT OR MULTI-LEVEL","Residential Low Density",82,9020,"Regular","Corner lot","NAmes","Single-family Detached","Split Level",6,5,1964,1964,"Gable","Plywood","Wood Siding","Brick Face",259,"Average/Typical","Cinder Block","Typical (80-89 inches)","Good Exposure",624,"Average Rec Room",336,288,1248,"Average/Typical",1350,0,0,1350,1,0,1,1,3,1,6,0,"No Fireplace","Attached to home",1964,"Rough Finished",2,520,176,0,0,0,0,0,"Good Privacy",0,6,2008,"Normal Sale",168500
"631",631,"2-STORY 1945 and OLDER","Residential Medium Density",50,9000,"Regular","Corner lot","Old Town","Single-family Detached","Two story",5,6,1880,1991,"Gable","Vinyl Siding","Vinyl Siding","None",0,"Average/Typical","Brick and Tile","Fair (70-79 inches)","No Exposure",0,"Unfinished",0,636,636,"Average/Typical",1089,661,0,1750,0,0,1,0,3,1,8,0,"No Fireplace","Detached from home",1937,"Unfinished",1,240,0,0,293,0,0,0,"Minimum Privacy",0,6,2006,"Abnormal Sale -  trade, foreclosure, short sale",124000
"632",632,"1-STORY PUD (Planned Unit Development) - 1946 and NEWER","Residential Low Density",34,4590,"Regular","Inside lot","Northridge Heights","Twnhs","One story",8,5,2006,2006,"Gable","Vinyl Siding","Vinyl Siding","Stone",108,"Good","Poured Contrete","Good (90-99 inches)","Mimimum Exposure",24,"Unfinished",0,1530,1554,"Excellent",1554,0,0,1554,0,0,2,0,2,1,6,1,"Good - Masonry Fireplace in main level","Attached to home",2006,"Rough Finished",2,627,156,73,0,0,0,0,"No Fence",0,8,2007,"Normal Sale",209500
"633",633,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",85,11900,"Regular","Inside lot","Northwest Ames","Single-family Detached","One story",7,5,1977,1977,"Hip","Plywood","Plywood","Brick Face",209,"Average/Typical","Cinder Block","Typical (80-89 inches)","No Exposure",822,"Unfinished",0,564,1386,"Average/Typical",1411,0,0,1411,0,0,2,0,3,1,6,1,"Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement","Attached to home",1977,"Finished",2,544,192,0,0,0,0,0,"No Fence",0,4,2009,"Sale between family members",82500
"634",634,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",80,9250,"Regular","Corner lot","NAmes","Single-family Detached","One story",5,7,1954,2005,"Gable","Wood Siding","Wood Siding","None",0,"Average/Typical","Cinder Block","Typical (80-89 inches)","No Exposure",480,"Low Quality",468,108,1056,"Average/Typical",1056,0,0,1056,0,1,1,0,3,1,6,0,"No Fireplace","Attached to home",1954,"Unfinished",1,260,390,0,0,0,0,0,"No Fence",0,7,2007,"Normal Sale",139400
"635",635,"DUPLEX - ALL STYLES AND AGES","Residential Low Density",64,6979,"Regular","Inside lot","Old Town","Duplex","Split Foyer",6,5,1980,1980,"Gable","Plywood","Plywood","None",0,"Average/Typical","Cinder Block","Typical (80-89 inches)","No Exposure",1056,"Unfinished",0,0,1056,"Good",1056,0,0,1056,2,0,0,0,0,2,4,0,"No Fireplace","Detached from home",1980,"Unfinished",2,576,264,56,0,0,0,0,"Good Privacy",600,6,2010,"Normal Sale",144000
"636",636,"2 FAMILY CONVERSION - ALL STYLES AND AGES","Residential High Density",60,10896,"Regular","Inside lot","South and West of Iowa State University","2fmCon","Two and one-half story: 2nd level finished",6,7,1914,1995,"Hip","Vinyl Siding","Vinyl Siding","None",0,"Fair","Cinder Block","Typical (80-89 inches)","No Exposure",256,"Unfinished",0,1184,1440,"Excellent",1440,1440,515,3395,0,0,2,0,8,2,14,0,"No Fireplace","No Garage",1914,"No Garage",0,0,0,110,0,0,0,0,"No Fence",0,3,2007,"Abnormal Sale -  trade, foreclosure, short sale",200000
"637",637,"1-STORY 1945 and OLDER","Residential Medium Density",51,6120,"Regular","Inside lot","Brookside","Single-family Detached","One story",2,3,1936,1950,"Gable","Asbestos Shingles","Asbestos Shingles","None",0,"Fair","Brick and Tile","Typical (80-89 inches)","No Exposure",0,"Unfinished",0,264,264,"Fair",800,0,0,800,0,0,1,0,1,1,4,1,"Poor - Ben Franklin Stove","No Garage",1936,"No Garage",0,0,0,0,0,0,0,0,"No Fence",0,1,2009,"Normal Sale",60000
"638",638,"2 FAMILY CONVERSION - ALL STYLES AND AGES","Residential Medium Density",50,6000,"Regular","Inside lot","Old Town","2fmCon","One and one-half story: 2nd level finished",5,4,1954,1954,"Gable","Wood Siding","Wood Siding","None",0,"Average/Typical","Cinder Block","Typical (80-89 inches)","No Exposure",0,"Unfinished",0,811,811,"Average/Typical",811,576,0,1387,0,0,2,0,3,2,7,0,"No Fireplace","Built-In (Garage part of house - typically has room above garage)",1954,"Unfinished",1,256,0,0,0,0,0,0,"No Fence",0,11,2009,"Normal Sale",93000
"639",639,"1-STORY 1945 and OLDER","Residential Low Density",67,8777,"Regular","Inside lot","Edwards","Single-family Detached","One story",5,7,1910,1950,"Gable","Metal Siding","Wood Siding","None",0,"Average/Typical","Cinder Block","Fair (70-79 inches)","No Exposure",0,"Unfinished",0,796,796,"Good",796,0,0,796,0,0,1,0,2,1,4,0,"No Fireplace","No Garage",1910,"No Garage",0,0,328,0,164,0,0,0,"Minimum Privacy",0,5,2008,"Normal Sale",85000
"640",640,"1-STORY PUD (Planned Unit Development) - 1946 and NEWER","Residential Low Density",53,3982,"Regular","Inside lot","Bloomington Heights","Townhouse End Unit","One story",8,5,2006,2006,"Hip","Vinyl Siding","Vinyl Siding","None",0,"Good","Poured Contrete","Good (90-99 inches)","Average Exposure (split levels or foyers typically score average or above)",1154,"Unfinished",0,366,1520,"Excellent",1567,0,0,1567,1,0,2,0,1,1,7,1,"Good - Masonry Fireplace in main level","Attached to home",2006,"Finished",3,648,312,0,0,0,0,0,"No Fence",0,10,2006,"Home was not completed when last assessed (associated with New Homes)",264561
"641",641,"1-STORY PUD (Planned Unit Development) - 1946 and NEWER","Residential Low Density",62,12677,"Slightly irregular","Inside lot","Northridge Heights","Townhouse End Unit","One story",8,5,2003,2004,"Hip","Metal Siding","Metal Siding","Brick Face",472,"Excellent","Poured Contrete","Excellent (100+ inches)","Good Exposure",1218,"Unfinished",0,300,1518,"Excellent",1518,0,0,1518,0,0,1,1,1,1,6,1,"Good - Masonry Fireplace in main level","Attached to home",2003,"Rough Finished",2,588,185,140,0,0,0,0,"No Fence",0,4,2008,"Normal Sale",274000
"642",642,"2-STORY 1946 and NEWER","Floating Village Residential",69,7050,"Regular","Inside lot","Somerset","Single-family Detached","Two story",7,5,2001,2001,"Gable","Vinyl Siding","Vinyl Siding","None",0,"Good","Poured Contrete","Good (90-99 inches)","No Exposure",738,"Unfinished",0,319,1057,"Excellent",1057,872,0,1929,1,0,2,1,3,1,7,1,"Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement","Attached to home",2001,"Finished",2,650,0,235,0,0,0,0,"No Fence",0,5,2007,"Normal Sale",226000
"643",643,"SPLIT OR MULTI-LEVEL","Residential Low Density",75,13860,"Regular","Inside lot","NAmes","Single-family Detached","Split Level",8,7,1972,1995,"Gable","Plywood","Wood Siding","None",0,"Good","Cinder Block","Good (90-99 inches)","Good Exposure",1410,"Unfinished",0,542,1952,"Good",2000,704,0,2704,1,0,2,1,4,1,9,3,"Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement","Attached to home",1972,"Finished",2,538,269,111,0,0,0,0,"Minimum Privacy",0,7,2009,"Normal Sale",345000
"644",644,"2-STORY 1946 and NEWER","Residential Low Density",80,10793,"Regular","Inside lot","Northwest Ames","Single-family Detached","Two story",5,5,1969,1969,"Mansard","Wood Shingles","Hard Board","Brick Face",263,"Average/Typical","Cinder Block","Typical (80-89 inches)","No Exposure",493,"Below Average Living Quarters",287,0,780,"Excellent",780,840,0,1620,0,0,2,1,4,1,7,0,"No Fireplace","Attached to home",1969,"Finished",2,462,208,0,0,0,0,0,"Good Wood",0,4,2007,"Normal Sale",152000
"645",645,"1-STORY 1946 and NEWER ALL STYLES","Floating Village Residential",85,9187,"Regular","Inside lot","Somerset","Single-family Detached","One story",9,5,2009,2009,"Gable","Cement Board","CmentBd","Stone",162,"Excellent","Poured Contrete","Excellent (100+ inches)","Mimimum Exposure",1121,"Unfinished",0,645,1766,"Excellent",1766,0,0,1766,1,0,2,1,2,1,7,1,"Good - Masonry Fireplace in main level","Attached to home",2009,"Finished",3,478,195,130,0,0,0,0,"No Fence",0,10,2009,"Home was not completed when last assessed (associated with New Homes)",370878
"646",646,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",69,10530,"Slightly irregular","Corner lot","NAmes","Single-family Detached","One story",6,5,1971,1971,"Hip","Plywood","Plywood","None",0,"Average/Typical","Cinder Block","Typical (80-89 inches)","No Exposure",282,"Low Quality",35,664,981,"Average/Typical",981,0,0,981,1,0,1,1,3,1,5,0,"No Fireplace","Detached from home",1979,"Unfinished",2,576,0,312,40,0,0,0,"No Fence",0,3,2007,"Normal Sale",143250
"647",647,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",60,7200,"Regular","Inside lot","NAmes","Single-family Detached","One story",5,5,1950,1950,"Hip","Metal Siding","Metal Siding","None",0,"Average/Typical","Cinder Block","No Basement","No Basement",0,"No Basement",0,0,0,"Good",1048,0,0,1048,0,0,1,0,3,1,7,0,"No Fireplace","Detached from home",1950,"Unfinished",2,420,0,27,0,0,0,0,"No Fence",0,7,2008,"Normal Sale",98300
"648",648,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",85,10452,"Slightly irregular","Inside lot","Edwards","Single-family Detached","One story",6,5,1953,1953,"Hip","Wood Siding","Wood Siding","Stone",216,"Average/Typical","Cinder Block","Typical (80-89 inches)","Mimimum Exposure",500,"Unfinished",0,594,1094,"Excellent",1094,0,0,1094,0,0,1,0,3,1,5,2,"Good - Masonry Fireplace in main level","Attached to home",1953,"Rough Finished",2,495,0,0,0,0,287,0,"No Fence",0,6,2008,"Normal Sale",155000
"649",649,"2-STORY 1946 and NEWER","Residential Low Density",70,7700,"Regular","Inside lot","NAmes","Single-family Detached","Two story",6,5,1966,1966,"Gable","Metal Siding","Metal Siding","Brick Face",351,"Average/Typical","Cinder Block","Typical (80-89 inches)","No Exposure",0,"Unfinished",0,756,756,"Average/Typical",1051,788,0,1839,0,0,1,1,4,1,7,1,"Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement","Attached to home",1966,"Unfinished",2,442,0,124,216,0,0,0,"No Fence",0,6,2010,"Normal Sale",155000
"650",650,"PUD - MULTILEVEL - INCL SPLIT LEV/FOYER","Residential Medium Density",21,1936,"Regular","Inside lot","Meadow Village","Twnhs","Split Foyer",4,6,1970,1970,"Gable","Cement Board","CmentBd","None",0,"Average/Typical","Cinder Block","Good (90-99 inches)","Average Exposure (split levels or foyers typically score average or above)",131,"Good Living Quarters",499,0,630,"Good",630,0,0,630,1,0,1,0,1,1,3,0,"No Fireplace","No Garage",1970,"No Garage",0,0,0,0,0,0,0,0,"Minimum Privacy",0,12,2007,"Normal Sale",84500
"651",651,"2-STORY 1946 and NEWER","Floating Village Residential",65,8125,"Regular","Inside lot","Somerset","Single-family Detached","Two story",7,6,2007,2007,"Gable","Cement Board","CmentBd",NA,0,"Good","Poured Contrete","Good (90-99 inches)","No Exposure",0,"Unfinished",0,813,813,"Excellent",822,843,0,1665,0,0,2,1,3,1,7,0,"No Fireplace","Attached to home",2007,"Rough Finished",2,562,0,0,0,0,0,0,"No Fence",0,5,2008,"Normal Sale",205950
"652",652,"2-STORY 1945 and OLDER","Residential Low Density",60,9084,"Regular","Inside lot","Edwards","Single-family Detached","Two story",4,5,1940,1950,"Gable","Metal Siding","Metal Siding","None",0,"Average/Typical","Cinder Block","Typical (80-89 inches)","Mimimum Exposure",0,"Unfinished",0,755,755,"Average/Typical",755,755,0,1510,1,0,1,0,4,1,7,1,"Good - Masonry Fireplace in main level","Detached from home",1940,"Unfinished",1,296,120,0,0,0,0,0,"Minimum Privacy",0,10,2009,"Normal Sale",108000
"653",653,"2-STORY 1946 and NEWER","Residential Low Density",70,8750,"Regular","Inside lot","College Creek","Single-family Detached","Two story",7,5,1996,1996,"Gable","Vinyl Siding","Vinyl Siding","None",0,"Good","Poured Contrete","Good (90-99 inches)","No Exposure",0,"Unfinished",0,880,880,"Excellent",909,807,0,1716,0,0,2,1,2,1,7,1,"Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement","Attached to home",1996,"Rough Finished",2,512,0,120,0,0,0,0,"No Fence",0,7,2009,"Normal Sale",191000
"654",654,"1-1/2 STORY FINISHED ALL AGES","Residential Medium Density",60,10320,"Regular","Inside lot","Iowa DOT and Rail Road","Single-family Detached","One and one-half story: 2nd level finished",6,7,1906,1995,"Gable","Metal Siding","Metal Siding","None",0,"Average/Typical","Cinder Block","Typical (80-89 inches)","No Exposure",0,"Unfinished",0,756,756,"Excellent",756,713,0,1469,0,0,1,0,3,1,7,0,"No Fireplace","Detached from home",1906,"Unfinished",1,216,57,0,239,0,0,0,"Minimum Privacy",0,6,2008,"Normal Sale",135000
"655",655,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",91,10437,"Slightly irregular","Inside lot","Northridge","Single-family Detached","One story",8,6,1995,1995,"Hip","Metal Siding","Metal Siding","Brick Face",660,"Good","Poured Contrete","Good (90-99 inches)","Good Exposure",1696,"Unfinished",0,413,2109,"Excellent",2113,0,0,2113,1,0,2,1,2,1,7,1,"Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement","Attached to home",1995,"Finished",3,839,236,46,0,0,0,0,"No Fence",0,8,2008,"Normal Sale",350000
"656",656,"2-STORY PUD - 1946 and NEWER","Residential Medium Density",21,1680,"Regular","Inside lot","Briardale","Twnhs","Two story",6,5,1971,1971,"Gable","Hard Board","Imitation Stucco","Brick Face",381,"Average/Typical","Cinder Block","Typical (80-89 inches)","No Exposure",0,"Unfinished",0,525,525,"Average/Typical",525,567,0,1092,0,0,1,1,3,1,6,0,"No Fireplace","Detached from home",1971,"Unfinished",1,264,0,0,0,0,0,0,"No Fence",0,3,2010,"Sale between family members",88000
"657",657,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",72,10007,"Slightly irregular","Inside lot","NAmes","Single-family Detached","One story",5,7,1959,2006,"Gable","Hard Board","Hard Board","Brick Face",54,"Good","Cinder Block","Typical (80-89 inches)","No Exposure",806,"Unfinished",0,247,1053,"Excellent",1053,0,0,1053,1,0,1,1,3,1,5,0,"No Fireplace","Attached to home",1959,"Rough Finished",1,312,0,0,0,0,0,0,"Minimum Privacy",0,8,2008,"Normal Sale",145500
"658",658,"2-STORY 1945 and OLDER","Residential Low Density",60,7200,"Regular","Inside lot","Crawford","Single-family Detached","Two story",7,6,1931,2000,"Gable","Stucco","Wd Shng","None",0,"Average/Typical","Brick and Tile","Good (90-99 inches)","No Exposure",0,"Unfinished",0,776,776,"Average/Typical",851,651,0,1502,0,0,1,1,3,1,6,1,"Good - Masonry Fireplace in main level","Attached to home",1931,"Rough Finished",1,270,0,0,112,0,0,0,"Minimum Privacy",0,2,2008,"Normal Sale",149000
"659",659,"1-1/2 STORY FINISHED ALL AGES","Residential Low Density",78,17503,"Regular","Inside lot","NAmes","Single-family Detached","One and one-half story: 2nd level finished",6,5,1948,1950,"Gable","Vinyl Siding","Vinyl Siding","None",0,"Average/Typical","Cinder Block","Typical (80-89 inches)","No Exposure",0,"Unfinished",0,912,912,"Average/Typical",912,546,0,1458,0,1,1,0,3,1,6,1,"Good - Masonry Fireplace in main level","Attached to home",1948,"Unfinished",1,330,192,0,0,0,0,0,"No Fence",0,1,2010,"Abnormal Sale -  trade, foreclosure, short sale",97500
"660",660,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",75,9937,"Regular","Corner lot","Edwards","Single-family Detached","One story",5,7,1964,1999,"Hip","Metal Siding","Metal Siding","None",0,"Average/Typical","Poured Contrete","Typical (80-89 inches)","No Exposure",637,"Unfinished",0,849,1486,"Excellent",1486,0,0,1486,1,0,1,0,3,1,7,0,"No Fireplace","Detached from home",1968,"Finished",2,480,0,0,0,0,0,0,"Minimum Privacy",0,3,2009,"Normal Sale",167000
"661",661,"2-STORY 1946 and NEWER","Residential Low Density",69,12384,"Regular","Cul-de-sac","Northwest Ames","Single-family Detached","Two story",7,7,1976,1976,"Gable","Plywood","Plywood","Brick Face",233,"Average/Typical","Cinder Block","Good (90-99 inches)","No Exposure",0,"Unfinished",0,793,793,"Average/Typical",1142,793,0,1935,0,0,2,1,3,1,7,1,"Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement","Attached to home",1976,"Rough Finished",2,550,0,113,252,0,0,0,"No Fence",0,11,2007,"Normal Sale",197900
"662",662,"2-STORY 1946 and NEWER","Residential Low Density",52,46589,"Moderately Irregular","Cul-de-sac","Northridge","Single-family Detached","Two story",8,7,1994,2005,"Hip","Vinyl Siding","Vinyl Siding","Brick Face",528,"Good","Poured Contrete","Good (90-99 inches)","No Exposure",1361,"Average Rec Room",180,88,1629,"Excellent",1686,762,0,2448,1,0,2,1,4,1,8,1,"Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement","Attached to home",1994,"Rough Finished",3,711,517,76,0,0,0,0,"No Fence",0,7,2009,"Normal Sale",402000
"663",663,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",120,13560,"Regular","Corner lot","NAmes","Single-family Detached","One story",6,3,1968,1968,"Hip","Wood Siding","Wood Siding","Brick Face",216,"Average/Typical","Cinder Block","Fair (70-79 inches)","No Exposure",0,"Unfinished",0,1392,1392,"Good",1392,0,0,1392,1,0,1,0,2,1,5,2,"Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement","Attached to home",1968,"Rough Finished",2,576,0,0,240,0,0,0,"No Fence",0,7,2009,"Normal Sale",110000
"664",664,"SPLIT FOYER","Residential Low Density",90,10012,"Regular","Inside lot","Edwards","Single-family Detached","Split Foyer",4,5,1972,1972,"Gable","Plywood","Plywood","None",0,"Average/Typical","Cinder Block","Good (90-99 inches)","Average Exposure (split levels or foyers typically score average or above)",920,"Average Rec Room",180,38,1138,"Average/Typical",1181,0,0,1181,1,0,2,0,3,1,6,0,"No Fireplace","Detached from home",1974,"Rough Finished",2,588,0,0,180,0,0,0,"Minimum Privacy",0,4,2008,"Normal Sale",137500
"665",665,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",49,20896,"Moderately Irregular","Cul-de-sac","Somerset","Single-family Detached","One story",8,5,2005,2006,"Gable","Vinyl Siding","Vinyl Siding","None",0,"Good","Poured Contrete","Excellent (100+ inches)","Mimimum Exposure",1721,"Unfinished",0,356,2077,"Excellent",2097,0,0,2097,1,0,1,1,1,1,8,1,"Excellent - Exceptional Masonry Fireplace","Attached to home",2005,"Finished",3,1134,192,267,0,0,0,0,"No Fence",0,1,2006,"Home was not completed when last assessed (associated with New Homes)",423000
"666",666,"2-STORY 1946 and NEWER","Residential Low Density",106,11194,"Slightly irregular","Corner lot","Gilbert","Single-family Detached","Two story",8,5,2000,2000,"Gable","Vinyl Siding","Vinyl Siding","Brick Face",40,"Good","Poured Contrete","Good (90-99 inches)","No Exposure",0,"Unfinished",0,1406,1406,"Excellent",1454,482,0,1936,0,0,2,1,3,1,7,1,"Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement","Attached to home",2000,"Rough Finished",2,504,188,124,0,0,0,0,"No Fence",0,11,2006,"Normal Sale",230500
"667",667,"2-STORY 1946 and NEWER","Residential Low Density",69,18450,"Slightly irregular","Inside lot","NAmes","Single-family Detached","Two story",6,5,1965,1979,"Flat","Plywood","Plywood","Brick Common",113,"Average/Typical","Cinder Block","Good (90-99 inches)","No Exposure",187,"Average Rec Room",723,111,1021,"Average/Typical",1465,915,0,2380,0,0,2,1,3,1,7,1,"Poor - Ben Franklin Stove","Car Port",1965,"Unfinished",2,596,0,265,0,0,0,0,"No Fence",0,8,2007,"Abnormal Sale -  trade, foreclosure, short sale",129000
"668",668,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",65,8125,"Regular","Inside lot","Sawyer West","Single-family Detached","One story",6,5,1994,1998,"Gable","Hard Board","Hard Board","Brick Face",258,"Average/Typical","Poured Contrete","Good (90-99 inches)","No Exposure",1138,"Unfinished",0,270,1408,"Excellent",1679,0,0,1679,1,0,2,0,3,1,7,1,"Fair - Prefabricated Fireplace in basement","Attached to home",1994,"Rough Finished",2,575,224,42,0,0,0,0,"No Fence",0,10,2008,"Normal Sale",193500
"669",669,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",69,14175,"Regular","Corner lot","Sawyer","Single-family Detached","One story",5,6,1956,1987,"Gable","Cement Board","Wood Siding","None",0,"Average/Typical","Cinder Block","Typical (80-89 inches)","No Exposure",988,"Unfinished",0,200,1188,"Good",1437,0,0,1437,1,0,1,1,3,1,6,1,"Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement","Detached from home",1999,"Unfinished",2,576,304,0,0,0,0,0,"No Fence",0,11,2006,"Normal Sale",168000
"670",670,"1-STORY 1945 and OLDER","Residential Low Density",80,11600,"Regular","Inside lot","Crawford","Single-family Detached","One story",4,5,1922,1950,"Gable","Metal Siding","Metal Siding","None",0,"Average/Typical","Brick and Tile","Fair (70-79 inches)","No Exposure",0,"Unfinished",0,700,700,"Excellent",1180,0,0,1180,0,0,1,0,2,1,5,1,"Good - Masonry Fireplace in main level","Detached from home",1922,"Unfinished",1,252,0,0,67,0,0,0,"No Fence",0,7,2006,"Normal Sale",137500
"671",671,"2-STORY 1946 and NEWER","Residential Low Density",64,8633,"Regular","Frontage on 2 sides of property","College Creek","Single-family Detached","Two story",6,5,2005,2005,"Gable","Vinyl Siding","Vinyl Siding","None",0,"Good","Poured Contrete","Good (90-99 inches)","No Exposure",193,"Unfinished",0,545,738,"Excellent",738,738,0,1476,1,0,2,1,3,1,7,0,"No Fireplace","Attached to home",2005,"Finished",2,540,100,35,0,0,0,0,"No Fence",0,2,2009,"Normal Sale",173500
"672",672,"2-STORY 1945 and OLDER","Residential High Density",54,6629,"Regular","Inside lot","Edwards","Single-family Detached","Two story",6,6,1925,1950,"Gambrel","Wood Siding","Wood Siding","None",0,"Average/Typical","Brick and Tile","Typical (80-89 inches)","No Exposure",551,"Unfinished",0,121,672,"Average/Typical",697,672,0,1369,1,0,2,0,3,1,6,0,"No Fireplace","Detached from home",1930,"Unfinished",1,300,147,0,0,0,0,0,"No Fence",0,7,2009,"Normal Sale",103600
"673",673,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",69,11250,"Slightly irregular","Inside lot","Veenker","Single-family Detached","One story",6,6,1977,1977,"Gable","Plywood","Plywood","None",0,"Good","Cinder Block","Good (90-99 inches)","No Exposure",767,"Unfinished",0,441,1208,"Average/Typical",1208,0,0,1208,1,0,1,1,3,1,6,1,"Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement","Attached to home",1977,"Rough Finished",2,546,198,42,0,0,0,0,"No Fence",0,6,2006,"Normal Sale",165000
"674",674,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",110,14442,"Regular","Inside lot","Crawford","Single-family Detached","One story",6,7,1957,2004,"Hip","Cement Board","CmentBd","Brick Face",106,"Average/Typical","Poured Contrete","Typical (80-89 inches)","No Exposure",1186,"Unfinished",0,291,1477,"Excellent",1839,0,0,1839,1,0,2,0,3,1,7,2,"Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement","Attached to home",1957,"Finished",2,416,0,87,0,0,200,0,"No Fence",0,6,2007,"Normal Sale",257500
"675",675,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",80,9200,"Regular","Inside lot","NAmes","Single-family Detached","One story",6,6,1965,1965,"Gable","Hard Board","Hard Board","None",0,"Average/Typical","Cinder Block","Typical (80-89 inches)","No Exposure",892,"Unfinished",0,244,1136,"Average/Typical",1136,0,0,1136,1,0,1,0,3,1,5,1,"Good - Masonry Fireplace in main level","Attached to home",1965,"Rough Finished",1,384,426,0,0,0,0,0,"No Fence",0,7,2008,"Normal Sale",140000
"676",676,"2-STORY PUD - 1946 and NEWER","Residential Low Density",24,2289,"Regular","Inside lot","Northpark Villa","Twnhs","Two story",6,6,1978,1978,"Gable","Plywood","Brk Cmn","None",0,"Average/Typical","Cinder Block","Typical (80-89 inches)","No Exposure",311,"Unfinished",0,544,855,"Average/Typical",855,586,0,1441,0,0,2,1,3,1,7,1,"Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement","Attached to home",1978,"Unfinished",2,440,28,0,0,0,0,0,"No Fence",0,4,2009,"Normal Sale",148500
"677",677,"2-STORY 1945 and OLDER","Residential Medium Density",60,9600,"Regular","Inside lot","Old Town","Single-family Detached","Two story",4,2,1900,1950,"Gable","Asbestos Shingles","Stucco","None",0,"Average/Typical","Brick and Tile","Typical (80-89 inches)","No Exposure",0,"Unfinished",0,1095,1095,"Fair",1095,679,0,1774,1,0,2,0,4,2,8,0,"No Fireplace","More than one type of garage",1920,"Unfinished",3,779,0,0,90,0,0,0,"No Fence",0,5,2006,"Normal Sale",87000
"678",678,"1-STORY 1945 and OLDER","Residential Low Density",52,9022,"Regular","Inside lot","Old Town","Single-family Detached","One story",5,8,1924,2006,"Gable","Vinyl Siding","Vinyl Siding","None",0,"Good","Brick and Tile","Typical (80-89 inches)","No Exposure",0,"Unfinished",0,768,768,"Excellent",792,0,0,792,0,0,1,0,2,1,5,0,"No Fireplace","Detached from home",1924,"Unfinished",1,240,316,0,120,0,0,0,"No Fence",0,5,2009,"Normal Sale",109500
